w,x,y,z
1.586216,1.970707,2.374060,0.160559
1.586198,1.970733,2.374098,0.160555
1.586180,1.970758,2.374136,0.160552
1.586163,1.970782,2.374172,0.160548
1.586146,1.970806,2.374207,0.160545
1.586130,1.970828,2.374242,0.160542
1.586115,1.970851,2.374275,0.160539
1.586099,1.970872,2.374307,0.160536
1.586085,1.970894,2.374339,0.160533
1.586070,1.970914,2.374370,0.160530
1.586056,1.970934,2.374399,0.160528
1.586043,1.970953,2.374428,0.160525
1.586029,1.970972,2.374457,0.160522
1.586016,1.970990,2.374484,0.160520
1.586004,1.971008,2.374511,0.160517
1.585992,1.971026,2.374537,0.160515
1.585980,1.971042,2.374562,0.160513
1.585968,1.971059,2.374586,0.160511
1.585957,1.971075,2.374610,0.160508
1.585946,1.971090,2.374633,0.160506
1.585936,1.971105,2.374656,0.160504
1.585926,1.971120,2.374678,0.160502
1.585916,1.971134,2.374699,0.160500
1.585906,1.971148,2.374719,0.160498
1.585896,1.971161,2.374740,0.160497
1.585887,1.971174,2.374759,0.160495
1.585878,1.971187,2.374778,0.160493
1.585870,1.971199,2.374797,0.160491
1.585861,1.971211,2.374815,0.160490
1.585853,1.971223,2.374832,0.160488
1.585845,1.971234,2.374849,0.160487
1.585837,1.971245,2.374865,0.160485
1.585830,1.971256,2.374881,0.160484
1.585823,1.971266,2.374897,0.160482
1.585815,1.971276,2.374912,0.160481
1.585808,1.971286,2.374927,0.160479
1.585802,1.971296,2.374941,0.160478
1.585795,1.971305,2.374955,0.160477
1.585789,1.971314,2.374969,0.160476
1.585783,1.971323,2.374982,0.160474
1.585777,1.971331,2.374995,0.160473
1.585771,1.971340,2.375007,0.160472
1.585765,1.971348,2.375019,0.160471
1.585760,1.971356,2.375031,0.160470
1.585754,1.971363,2.375042,0.160469
1.585749,1.971371,2.375054,0.160468
1.585744,1.971378,2.375064,0.160467
1.585739,1.971385,2.375075,0.160466
1.585734,1.971392,2.375085,0.160465
1.585730,1.971398,2.375095,0.160464
1.585725,1.971405,2.375105,0.160463
1.585721,1.971411,2.375114,0.160462
1.585716,1.971417,2.375123,0.160462
1.585712,1.971423,2.375132,0.160461
